Institution,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
A&M-Corpus Christi,Southland,52,"1,323",156,312,46,1,411,17,,100,13,139,6,17,222,55,11,5,,71,13,,408,358,327.2,450,299,222,109,139,3,"1,605","1,398",75,20,21,,33,1,44,43,1,,,,38,16,,496,301,,983,505,81,,11,70,9,"1,569",18,
Abilene Christian,Southland,49,"1,270",181,315,44,4,463,32,,107,44,157,11,27,237,46,15,5,,47,8,,378,329,325,358,209,176,98,217,7,"1,453","1,296",69,11,36,,10,,22,56,,,,,30,7,,320,395,,975,339,55,,11,57,14,"1,369",13,
Akron,MAC,48,"1,098",108,251,50,1,372,23,,97,21,89,8,42,184,53,11,6,,54,31,,360,315,286,445,352,278,130,136,1,"1,493","1,283",77,17,54,,17,,30,45,4,,,,28,22,,338,349,,858,324,80,,7,64,5,"1,262",10,
Alabama,SEC,56,"1,387",269,378,55,11,608,51,7,190,30,250,20,39,215,67,19,13,,62,13,,399,407,367.2,294,162,128,215,344,14,"1,637","1,349",43,2,22,,27,,34,105,8,,,,27,12,,393,320,,"1,103",401,55,,4,39,20,"1,559",19,
Alabama A&M,SWAC,43,"1,115",255,331,59,7,500,32,4,138,26,226,5,29,146,38,12,5,,56,11,,302,295,260.1,337,232,166,149,161,5,"1,296","1,104",52,9,22,,22,,11,35,,,,,25,7,,267,310,,781,267,75,,7,52,7,"1,123",13,
Alabama St.,SWAC,54,"1,390",261,401,73,13,578,26,,134,26,225,13,21,176,47,8,4,,82,15,,379,418,340.2,404,316,245,197,208,3,"1,712","1,430",67,15,22,,45,,46,75,1,,,,29,9,1,447,321,,"1,022",422,95,1,34,85,11,"1,539",11,
Albany (NY),America East,48,"1,231",229,324,65,8,495,30,,109,35,203,10,16,180,47,6,3,,57,9,,340,368,312,271,145,129,160,218,8,"1,377","1,168",42,5,29,,12,,22,55,,,,,20,7,,304,367,,936,337,38,,13,46,10,"1,311",11,
Alcorn,SWAC,49,"1,183",208,314,46,9,408,10,,138,23,167,9,29,212,52,15,5,,39,9,,349,285,285.2,384,318,242,170,168,2,"1,472","1,209",59,9,17,,68,,33,44,,,,,42,16,2,340,320,,857,332,95,2,17,120,14,"1,284",5,
App State,Sun Belt,52,"1,390",215,375,49,4,540,36,1,169,17,178,10,38,273,83,20,12,,61,10,,368,366,338.2,413,294,208,180,176,3,"1,650","1,404",49,5,52,,23,,23,57,6,,,,25,18,,458,341,,"1,016",466,74,,14,46,16,"1,556",7,
Arizona,Pac-12,59,"1,548",292,455,71,7,765,75,3,163,29,273,10,22,307,89,9,4,,31,4,,374,394,385.1,274,130,107,122,396,20,"1,587","1,417",47,2,39,,12,,27,78,3,,,,14,7,,340,397,,"1,156",321,41,,3,16,8,"1,518",12,
