Team,Conference,G,AB,R,H,2B,3B,TB,HR,IBB,BB,HBP,RBI,SF,SH,K,KL,DP,GDP,TP,SB,CS,Picked,GO,FO,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,SV,PO,A,E,CI,PB,SBA,CSB,TC,IDP,TP
A&M-Corpus Christi,Southland,48,"1,225",177,311,42,8,411,14,,177,31,153,12,33,234,74,14,3,,92,12,,340,349,317.2,351,222,168,114,194,8,"1,479","1,275",57,4,37,,13,,46,61,,,,,34,10,,356,361,2,953,357,65,,5,62,11,"1,375",12,
Abilene Christian,Southland,47,"1,199",170,294,58,5,479,39,,107,29,158,2,14,247,63,17,8,,61,10,,290,342,292,425,288,240,132,107,4,"1,447","1,241",80,17,55,,28,,28,34,,,,,29,17,,356,356,,876,377,65,,8,53,16,"1,318",21,
Akron,MAC,54,"1,345",141,289,46,7,412,21,,130,31,120,7,34,349,91,12,6,,60,17,,321,378,343.2,438,328,244,203,237,2,"1,734","1,430",80,7,31,,57,,51,63,1,,,,28,22,,394,343,3,"1,031",422,77,,18,86,15,"1,530",13,
Alabama,SEC,61,"1,572",355,487,65,5,685,41,5,207,28,304,17,32,239,48,21,8,,92,16,,471,364,404.1,290,128,101,110,558,19,"1,646","1,507",37,5,26,,33,,16,101,15,,,,9,4,,419,223,5,"1,213",413,54,,6,37,9,"1,680",11,
Alabama A&M,SWAC,30,745,106,188,32,5,272,14,,48,22,93,5,24,116,34,10,3,,20,2,,217,215,187,246,171,113,55,112,1,894,795,44,9,17,,13,,10,47,,,,,24,10,,222,205,,561,237,53,,5,52,4,851,3,
Alabama St.,SWAC,48,"1,213",179,317,54,6,407,8,,69,21,158,8,28,226,55,12,6,,90,13,,379,279,308.1,403,266,214,144,169,4,"1,520","1,291",81,8,26,,29,,26,45,,,,,38,21,,269,448,,925,282,68,,8,79,12,"1,275",7,
Albany (NY),America East,42,"1,157",228,335,47,10,537,45,,97,26,212,10,8,216,60,7,4,,53,10,,286,285,275.2,274,196,155,112,212,4,"1,266","1,080",51,12,23,,9,,36,62,,,,,28,10,,285,295,3,827,299,62,,5,40,14,"1,188",7,
Alcorn,SWAC,32,831,127,197,42,5,270,7,,83,15,106,6,27,148,36,2,,,20,4,,259,213,211.1,275,187,131,91,109,,"1,050",912,48,15,8,,16,,15,38,,,,,21,10,1,259,234,,634,250,75,1,10,52,6,959,8,
App State,Sun Belt,46,"1,219",207,319,58,9,467,24,,142,24,183,14,33,189,35,11,4,,38,8,,301,411,304.1,313,173,142,94,160,6,"1,322","1,202",51,2,30,,11,,6,37,,,,,13,7,,393,306,2,913,429,59,,1,19,7,"1,401",31,
Arizona,Pac-12,56,"1,461",354,470,64,6,834,96,3,178,18,339,10,14,277,64,16,9,,27,3,,358,323,344,272,127,109,102,277,16,"1,429","1,275",39,3,48,,8,,35,68,4,,,,12,5,,353,366,5,"1,032",350,25,,6,10,6,"1,407",25,
Arizona St.,Pac-12,49,"1,270",324,397,69,8,767,95,4,177,32,310,11,14,246,81,17,9,,47,11,,277,333,315.2,318,192,158,97,268,5,"1,417","1,244",41,2,49,,11,,42,116,4,,,,20,14,,340,310,2,947,343,51,,4,19,7,"1,341",11,
Ark.-Pine Bluff,SWAC,31,734,69,150,26,3,209,9,,59,8,62,3,14,211,58,3,,,20,6,,172,198,187.1,276,237,187,132,101,,"1,009",803,49,8,8,,45,,31,35,,,,,24,18,1,189,249,,562,196,40,1,14,96,17,798,,
Arkansas,SEC,54,"1,438",292,375,60,3,726,95,7,208,57,278,9,23,287,64,17,10,,4,2,,327,446,379,311,154,118,88,329,11,"1,577","1,435",44,5,37,,16,,30,88,2,,,,18,6,,356,424,9,"1,137",351,41,,10,20,9,"1,529",13,
Army West Point,Patriot,33,904,138,243,40,5,365,24,,74,20,127,10,9,128,39,8,4,,20,5,,246,265,216,211,118,95,65,182,5,944,846,31,5,17,,20,,18,42,,,,,10,5,,182,258,1,648,206,34,,6,21,8,888,6,
Auburn,SEC,51,"1,271",157,306,41,8,429,22,,96,20,131,11,28,224,56,19,7,,69,21,,398,339,347.2,288,126,101,118,373,8,"1,457","1,290",41,1,24,,12,,25,79,6,,,,19,5,,300,327,5,"1,043",318,45,,8,40,9,"1,406",18,
Austin Peay,OVC,43,"1,133",202,314,54,10,457,23,1,105,24,175,12,16,146,37,15,5,,38,4,,303,349,282.2,284,147,134,96,197,7,"1,243","1,097",49,4,32,,14,,27,59,,,,,11,12,,246,370,7,848,267,40,,8,27,14,"1,155",13,
Ball St.,MAC,55,"1,528",355,503,101,16,789,51,1,190,45,330,17,11,194,58,22,7,,62,19,,362,458,365.2,369,257,215,233,288,4,"1,734","1,424",57,4,38,,44,,37,82,,,,,27,12,1,409,336,10,"1,097",449,78,1,11,35,21,"1,624",25,
Baylor,Big 12,50,"1,313",215,358,71,11,532,27,1,131,27,196,10,16,221,63,16,4,,51,15,,374,355,331.2,336,197,177,129,284,4,"1,494","1,303",49,2,46,,37,,25,71,4,,,,30,7,,386,309,5,995,372,34,,6,39,7,"1,401",11,
Bellarmine,ASUN,37,867,69,154,31,1,208,7,1,85,10,53,3,24,214,49,8,4,,20,3,,269,235,235,283,213,164,140,128,,"1,155",953,46,7,23,,25,,21,31,,,,,28,12,1,270,281,1,705,279,42,1,6,45,8,"1,026",6,
Belmont,OVC,41,"1,043",131,246,43,12,376,21,,120,18,124,10,5,298,72,6,,,45,3,,231,271,269,328,210,169,108,171,3,"1,294","1,114",65,8,28,,22,,29,33,,,,,26,17,,277,338,2,807,277,47,,8,51,6,"1,131",6,
Binghamton,America East,25,613,73,124,20,5,181,9,,51,22,63,7,7,169,49,7,2,,34,5,,145,167,167.2,161,90,75,68,142,1,756,658,26,3,12,,18,,14,34,,,,,10,6,,149,199,3,503,133,21,,4,23,2,657,1,
Boise St.,Mountain West,45,"1,171",153,307,49,9,467,31,,92,22,141,8,21,216,63,15,8,,44,9,,314,330,297.1,307,166,148,96,281,4,"1,317","1,164",50,8,34,,20,,27,59,,,,,19,11,,281,293,4,889,307,30,,3,38,9,"1,226",10,
Boston College,ACC,45,"1,132",113,264,45,4,368,17,,105,27,107,6,21,243,53,8,5,,21,5,,345,287,296,334,204,160,118,181,4,"1,406","1,206",49,12,24,,17,1,52,53,,,,,22,8,,397,271,1,885,412,61,,8,56,19,"1,358",8,
Boston U.,Patriot,40,"1,035",240,331,64,13,469,16,1,116,38,205,12,32,150,47,6,1,,56,9,,258,296,261,169,64,47,87,254,16,"1,066",952,18,3,14,,13,,14,57,,,,,10,2,1,319,180,3,783,344,44,1,2,6,11,"1,171",9,
Bowling Green,MAC,54,"1,389",187,368,52,5,511,27,,145,19,170,19,51,308,81,14,3,,46,7,,381,356,358.2,312,205,172,178,404,10,"1,594","1,341",55,3,42,,17,,39,125,1,,,,29,6,1,264,361,1,"1,076",294,46,1,8,59,14,"1,416",15,
Bradley,MVC,42,"1,032",152,253,36,7,366,21,1,103,18,138,11,8,228,42,10,6,,36,6,,253,295,268.1,294,204,161,154,173,3,"1,269","1,060",44,7,29,,36,,26,48,2,,,,21,7,1,298,291,7,805,323,50,1,14,40,18,"1,178",17,
Brown,Ivy League,2,50,7,11,1,1,17,1,,10,1,5,,,7,3,1,,,4,,,12,18,13,17,8,8,7,12,1,62,52,2,,1,,2,,,1,,,,,2,1,,9,17,1,39,8,,,,1,1,47,,
